ordernumber,quantityordered,priceeach,orderlinenumber,sales,orderdate,days_since_lastorder,status,productline,msrp,productcode,customername,phone,addressline1,city,postalcode,country,contactlastname,contactfirstname,dealsize
10107,30,95.7,2,2871.0,2018-02-24,828,shipped,motorcycles,95,s10_1678,land of toys inc.,2125557818,897 long airport avenue,nyc,10022,usa,yu,kwai,small
10121,34,81.35,5,2765.9,2018-05-07,757,shipped,motorcycles,95,s10_1678,reims collectables,26.47.1555,59 rue de l'abbaye,reims,51100,france,henriot,paul,small
10134,41,94.74,2,3884.34,2018-07-01,703,shipped,motorcycles,95,s10_1678,lyon souveniers,+33 1 46 62 7555,27 rue du colonel pierre avia,paris,75508,france,da cunha,daniel,medium
10145,45,83.26,6,3746.7,2018-08-25,649,shipped,motorcycles,95,s10_1678,toys4grownups.com,6265557265,78934 hillside dr.,pasadena,90003,usa,young,julie,medium
10168,36,96.66,1,3479.76,2018-10-28,586,shipped,motorcycles,95,s10_1678,technics stores inc.,6505556809,9408 furth circle,burlingame,94217,usa,hirano,juri,medium
10180,29,86.13,9,2497.77,2018-11-11,573,shipped,motorcycles,95,s10_1678,daedalus designs imports,20.16.1555,"184, chausse de tournai",lille,59000,france,rance,martine,small
10188,48,114.84,1,5512.32,2018-11-18,567,shipped,motorcycles,95,s10_1678,herkku gifts,+47 2267 3215,"drammen 121, pr 744 sentrum",bergen,n 5804,norway,oeztan,veysel,medium
10211,41,114.84,14,4708.44,2019-01-15,510,shipped,motorcycles,95,s10_1678,auto canal petit,(1) 47.55.6555,"25, rue lauriston",paris,75016,france,perrier,dominique,medium
10223,37,107.18,1,3965.66,2019-02-20,475,shipped,motorcycles,95,s10_1678,"australian collectors, co.",03 9520 4555,636 st kilda road,melbourne,3004,australia,ferguson,peter,medium
10237,23,101.44,7,2333.12,2019-04-05,432,shipped,motorcycles,95,s10_1678,vitachrome inc.,2125551500,2678 kingston rd.,nyc,10022,usa,frick,michael,small
10251,28,113.88,2,3188.64,2019-05-18,390,shipped,motorcycles,95,s10_1678,tekni collectables inc.,2015559350,7476 moss rd.,newark,94019,usa,brown,william,medium
10263,34,108.14,2,3676.76,2019-06-28,350,shipped,motorcycles,95,s10_1678,gift depot inc.,2035552570,25593 south bay ln.,bridgewater,97562,usa,king,julie,medium
10275,45,92.83,1,4177.35,2019-07-23,326,shipped,motorcycles,95,s10_1678,la rochelle gifts,40.67.8555,"67, rue des cinquante otages",nantes,44000,france,labrune,janine,medium
10285,36,113.88,6,4099.68,2019-08-27,292,shipped,motorcycles,95,s10_1678,marta's replicas co.,6175558555,39323 spinnaker dr.,cambridge,51247,usa,hernandez,marta,medium
10299,23,112.93,9,2597.39,2019-09-30,259,shipped,motorcycles,95,s10_1678,"toys of finland, co.",90-224 8555,keskuskatu 45,helsinki,21240,finland,karttunen,matti,small
